filename,predicted_disease_label,predicted_body_location,predicted_caption,ground_truth_disease_label,ground_truth_body_location,ground_truth_caption
youtube/nSw7XdNR0bg_frame_35881_3.jpg,no definitive diagnosis,back,"The image shows the back with multiple small, scattered erythematous macules and papules. Some lesions appear slightly raised and inflamed. The distribution is diffuse across the upper and mid-back, with no clear pattern. The overall appearance suggests a possible inflammatory or infectious dermatosis, but without additional clinical context or diagnostic tools, no specific diagnosis can be confirmed.",vasculitis,"ear, nose","This image depicts Veckus syndrome, a predominantly male disease characterized by clinical diagnoses such as relapsing polychondritis, neutrophilic dermatoses, and forms of vasculitis. It causes subtle chondritis in the ear and nose, often without permanent damage."
youtube/7SJ--nNILsI_frame_160_0_0.jpg,no definitive diagnosis,,"The image shows a solitary, oval-shaped, brownish pigmented lesion on the skin. The lesion has a relatively uniform color and appears to be well-demarcated from the surrounding skin. There are no visible signs of irritation, scaling, or ulceration. The lesion's surface appears slightly textured, possibly due to fine hair or skin texture, but no specific dermatological diagnosis can be made based solely on this image without additional clinical context or diagnostic tools.",allergic contact dermatitis,"nose, face","This image shows a close-up view of a person's face with a red, itchy rash covering their cheeks and nose. The rash appears to be caused by an allergic reaction to a specific trigger, such as an allergen found in food or environmental pollutants. Treatment options include avoiding the allergen, using over-the-counter creams to reduce inflammation and itching, and consulting a dermatologist for prescription medications if the rash persists."
pubmed/19_1d_PMC6755624_10.1177_2324709619877050_fig1_2.png,no definitive diagnosis,knees,"The image shows the anterior aspect of both knees, with visible skin texture and hair. There are no apparent lesions, rashes, or abnormalities that suggest a specific dermatological condition. The skin appears normal with minor variations in pigmentation and natural skin folds around the patellar region.",eruptive xanthoma,No body location information,Tuberoeruptive xanthomas observed on the knees and elbows of the patient.
pubmed/3b_fd_PMC8024261_41467_2021_22340_Fig1_HTML_10.jpg,no definitive diagnosis,head,"The image is an X-ray of the skull, not a dermatological image. It shows bony structures of the head, including the skull, jaw, and cervical spine, but does not display any skin lesions or dermatological findings.",no definitive diagnosis,No body location information,Pedigree of Family C shows the occurrence of a previously unknown type of skeletal dysplasia associated with recessive TMEM53 variants.
pubmed/98_a8_PMC9907656_SRT-28-357-g001_0.jpg,no definitive diagnosis,abdomen,"The image shows the abdomen with diffuse, fine, brownish discoloration and slight textural irregularities across the skin surface. There are no discrete lesions, plaques, or nodules visible. The skin appears uniformly pigmented with no clear signs of specific dermatological pathology.",no definitive diagnosis,abdomen,"Multiple, brown, non-scaled macules and patches on the abdomen."
pubmed/00_58_PMC5621200_IDOJ-8-361-g003_3.jpg,no definitive diagnosis,face,"The image shows a reddish, irregularly shaped area of skin discoloration on the right side of the face, near the eyebrow and extending toward the temple. The area appears to be a bruise or contusion, with some darker pigmentation and possible superficial skin breakdown or scabbing. The lesion is localized and does not show clear signs of a specific dermatological condition.",dermatitis,No body location information,Periorbital classical lesions seen in Paederus dermatitis.
youtube/ZV3lmTHN3_w_frame_51138_2.jpg,no definitive diagnosis,head,"The image shows an area of the scalp with significant trauma, including visible bleeding, raw tissue, and possible hair loss or damage. There is a central reddish, irregularly shaped area surrounded by blood and disrupted skin, suggesting an open wound or injury. The surrounding skin appears inflamed and damaged.",allergic contact dermatitis,No body location information,"This image shows a close-up view of a skin disease characterized by red, inflamed patches on the skin, likely caused by an allergic reaction to an irritant. Treatment options include topical creams and ointments to reduce inflammation and itching."
"note/Klaus Wolff, Lowell Goldsmith, Stephen Katz, Barbara Gilchrest, Amy Paller, D-部分3_00361_17625_0.png",no definitive diagnosis,face,"The image shows a close-up of a man's face with diffuse erythema and scattered small papules or macules, particularly on the forehead, cheeks, and around the nose. There is also mild periorbital edema and a reddish hue to the nasal bridge. The skin appears generally inflamed but lacks a clear, localized lesion that would allow for a specific dermatological diagnosis.",bloom syndrome,No body location information,Bloom syndrome: Prominent
youtube/jJjxGxhcjpU_frame_15202_0_0.jpg,no definitive diagnosis,not specified,"The image shows multiple small, round, pinkish papules on a textured skin surface with visible hair follicles. The lesions appear slightly elevated and have a smooth, glistening surface. There is no clear evidence of a specific dermatological condition based on the visual information alone.",allergic contact dermatitis,No body location information,"This image shows a patient with a skin disease characterized by red, itchy patches on their skin. The cause of this condition is an allergic reaction to a particular substance, and treatment options include topical creams and avoiding the allergen."
youtube/qW99IuAPApU_frame_23492_2.jpg,no definitive diagnosis,torso,"The image shows a close-up of skin on the torso with a tattoo visible on the left side. There is a small, dark, pinpoint lesion indicated by an arrow, surrounded by multiple small, faintly pigmented spots. The overall skin texture appears normal, and no clear dermatological condition can be definitively identified from this view.",allergic contact dermatitis,No body location information,"This image shows a close-up view of a skin disease characterized by red, inflamed patches on the skin, likely caused by an allergic reaction to an irritant. Treatment options include topical creams and avoiding the allergen."
